image_path,ground_truth,prediction,nsfw_prob,config,dataset
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-12.909_1920x1080.png,UNSAFE,UNSAFE,0.9963633418083191,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-13.426_1920x1080.png,UNSAFE,UNSAFE,0.9983038902282715,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-13.948_1920x1080.png,UNSAFE,UNSAFE,0.9972840547561646,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-14.460_1920x1080.png,UNSAFE,UNSAFE,0.9963244795799255,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-14.967_1920x1080.png,UNSAFE,UNSAFE,0.9956638216972351,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-15.480_1920x1080.png,UNSAFE,UNSAFE,0.9912919402122498,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-16.006_1920x1080.png,UNSAFE,UNSAFE,0.9961354732513428,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-16.500_1920x1080.png,UNSAFE,UNSAFE,0.9967310428619385,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-17.019_1920x1080.png,UNSAFE,UNSAFE,0.9965987801551819,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-17.526_1920x1080.png,UNSAFE,UNSAFE,0.9968212842941284,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-18.032_1920x1080.png,UNSAFE,UNSAFE,0.9976096153259277,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-18.543_1920x1080.png,UNSAFE,UNSAFE,0.9975413084030151,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-19.049_1920x1080.png,UNSAFE,UNSAFE,0.9972431659698486,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-19.560_1920x1080.png,UNSAFE,UNSAFE,0.9948387742042542,reflection_only,vrchat
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/final-filtered-data/unsafe/VRChat_2025-07-14_15-49-20.079_1920x1080.png,UNSAFE,UNSAFE,0.9975606203079224,reflection_only,vrchat
